french,english
de,of
je,I
est,East
pas,not
le,THE
que,that
la,there
vous,YOU
tu,you
un,A
c',it's
à,has
et,And
il,he
a,has
l',L'
ne,born
les,THE
j',I
en,in
on,we
ça,That
une,a
d',of
ce,This
qu',that
pour,For
ai,ai
n',n'
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
me,me
bien,GOOD
si,if
du,of
y,y
suis,am
non,No
t',you
avec,with
tout,All
plus,more
mon,My
m',me
te,you
au,At
fait,do
moi,Me
s',if
oui,Yes
va,go
était,was
as,ace
faire,TO DO
ils,they
sur,on
quoi,What
se,se
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,You
est-ce,is this
dit,said
lui,him
votre,your
es,are
pourquoi,Why
où,Or
là,there
rien,Nothing
cette,this
sont,are
quand,When
peux,can
dire,say
son,her
avez,have
vais,go
alors,SO
ton,your
comment,how
par,by
ou,Or
chose,thing
bon,Good
ont,have
merci,THANKS
juste,just
très,very
jamais,Never
été,summer
aussi,Also
avoir,to have
vraiment,Really
voir,see
même,even
sa,its
oh,Oh
maintenant,NOW
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,agreement
faut,must
dois,have to
vie,life
peut-être,maybe
aller,go
fois,times
vu,seen
donc,SO
sans,without
monde,world
étais,was
parce,because
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,had
aime,love
leur,their
homme,man
viens,come
vrai,TRUE
femme,women
ok,ok
doit,must
veut,wanna
ans,years
m.,mr.
mal,wrong
chez,at the house of
déjà,Already
depuis,Since
beaucoup,a lot
vos,your
bonne,Good
mort,dead
mieux,better
vas,go
mère,mother
sera,will be
dis,say
fille,girl
tes,your 
gens,people
quel,what
vois,see 
désolé,Sorry
ca,That
voilà,There
avons,have
petit,little
maison,House
soit,either
cela,that
autres,others
toute,all
soir,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,our
savoir,know
